Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
97,DR. APPASAHEB URF SA. RE. PATIL JAYSINGPUR UDGAON SAHAKARI BANK LTD JAYSINGPUR,0.10,1.15,0.03,1.03,,
98,EBIX PAYMENT SERVICES PRIVATE LIMITED,0.01,0.16,0.00,0.04,,
99,EQUITAS SMALL FINANCE BANK,298.64,3553.19,134.95,3280.20,,
100,EROUTE TECHNOLOGIES PRIVATE LIMITED,12.82,53.41,6.72,35.88,,
101,ESAF SMALL FINANCE BANK LTD,217.95,2733.88,107.21,2355.05,,
102,FEDERAL BANK,1946.91,24970.83,3824.36,27855.60,,
103,FINCARE SMALL FINANCE BANK LIMITED,175.01,1229.05,88.06,1379.42,,
104,FINGROWTH COOPERATIVE BANK LTD.,1.20,23.88,0.55,21.37,,
105,FINO PAYMENTS BANK LIMITED FIP,1302.27,6284.92,710.03,9003.21,,
106,G P PARSIK SAHAKARI BANK LTD,42.41,619.51,16.98,447.32,,
107,GARAGEPRENEURS INTERNET PRIVATE LIMITED - SLICE,36.40,123.41,16.81,102.35,,
108,GODAVARI URBAN CO-OPERATIVE BANK LTD. NASHIK,0.10,1.45,0.04,1.56,,
109,GUARDIAN SOUHARDA SAHAKARI BANK NIYAMITA,0.61,5.70,0.23,5.44,,
110,GUJARAT AMBUJA CO OPERATIVE BANK LTD,0.07,1.59,0.03,1.49,,
111,HADAGALI URBAN CO-OPERATIVE BANK LIMITED  HADAGALI,0.02,0.31,0.01,0.40,,
112,HAVELI SAHAKARI BANK MARYADIT MOSHI,0.03,0.80,0.05,1.23,,
113,HDFC BANK,11669.89,221776.77,6459.25,212196.81,,
114,HIMACHAL PRADESH GRAMIN BANK,30.73,311.86,16.91,293.48,,
115,HIMATNAGAR NAGARIK SAHAKARI BANK LTD,0.42,6.71,0.21,6.60,,
116,HSBC BANK,96.00,1733.55,35.30,1273.40,,
117,"HUTATMA SAHAKARI BANK LTD.,  WALWA",1.72,23.00,0.83,18.88,,
118,ICICI BANK,6119.26,125260.91,6215.45,167897.59,,
119,ICICI BANK POCKETS -IPP,0.61,4.94,0.07,0.87,,
120,IDBI BANK,1469.92,25695.00,657.67,20372.53,,
121,IDFC BANK CREDIT CARD,47.39,318.12,0.21,2.81,,
122,IDFC FIRST BANK LTD,797.89,13036.79,349.82,13363.46,,
123,ILKAL CO-OPERATIVE BANK LTD,0.02,0.32,0.01,0.48,,
124,INDIA POST PAYMENTS BANK LIMITED,2742.14,13573.92,1361.99,12562.93,,
125,INDIAN BANK,3988.82,50921.24,2223.61,46039.62,,
126,INDIAN OVERSEAS BANK,1832.72,25668.04,917.76,21559.51,,
127,INDORE CLOTH MARKET CO OPERATIVE BANK LTD,0.03,0.68,0.02,1.31,,
128,INDORE PARASPAR SAHAKARI BANK LTD. INDORE,0.20,3.54,0.09,3.49,,
129,INDORE PREMIER CO OPERATIVE BANK LTD,0.57,7.50,0.20,7.67,,
130,INDRAPRASTHA SEHKARI BANK LTD,0.13,1.83,0.07,2.14,,
131,INDRAYANI COOPERATIVE BANK LTD,0.78,10.76,0.43,10.41,,
132,INDUSIND BANK,1451.79,21976.39,1229.72,21871.65,,
133,IRINJALAKUDA TOWN CO-OPERATIVE BANK LTD,0.93,13.58,0.64,13.29,,
134,JALGAON JANATA SAHAKARI BANK LTD JALGAON,10.32,163.81,5.64,147.03,,
135,"JALNA MERCHANTS CO.OP. BANK LTD., JALNA",1.76,34.49,1.53,42.13,,
136,JALORE NAGRIK SAHAKARI BANK LTD,0.63,12.64,0.41,11.84,,
