Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
585,VAISHYA NAGARI SAHAKARI BANK LTD,1.22,26.04,1.20,32.68,,
586,VAISHYA SAHAKARI BANK LTD,0.37,4.67,0.21,4.82,,
587,VALMIKI URBAN COOPERATIVE BANK LTD,0.75,12.24,0.57,10.75,,
588,VALSAD DISTRICT CENTRAL CO OPERATIVE BANK LTD,0.59,7.97,0.28,7.31,,
589,VARDHAMAN MAHILA CO OPERATIVE URBAN BANK LTD,0.42,8.24,0.22,9.02,,
590,VASAI JANATA SAHAKARI BANK LTD,0.94,12.92,0.42,13.26,,
591,VASAI VIKAS SAHAKARI BANK LTD,9.56,132.00,3.70,95.31,,
592,VASUNDHARA MAHILA NAGARI SAHAKARI BANK. LTD AMBEJOGAI,0.07,0.89,0.07,1.36,,
593,VEERASHAIVA SAHAKARI BANK LTD,0.26,2.58,0.13,3.46,,
594,VELLORE DISTRICT CENTRAL COOPERATIVE BANK,1.28,16.65,0.64,15.49,,
595,VIDARBHA MERCHANTS URBAN CO-OP BANK LTD,0.16,2.35,0.07,2.50,,
596,VIJAY COMMERCIAL CO OPERATIVE BANK LTD,0.20,3.98,0.10,4.03,,
597,VIKAS SOUHARDA CO OPERATIVE BANK LTD,2.84,39.42,1.87,42.25,,
598,VIKRAMADITYA NAGRIK SAHAKARI BANK,0.05,1.68,0.04,2.93,,
599,VILAS CO-OPERATIVE BANK LTD LATUR,0.18,1.95,0.05,1.42,,
600,VILLUPURAM DISTRICT CENTRAL COOPERATIVE BANK,0.80,11.80,0.42,11.20,,
601,VIRUDHUNAGAR DISTRICT CENTRAL COOPERATIVE BANK,0.44,6.05,0.22,6.72,,
602,VYAPARIK AUDHYOGIK SAHAKARI BANK LTD,0.00,0.02,0.00,0.15,,
603,VYAVSAYIK SAHKARI BANK LTD,0.05,0.60,0.02,0.83,,
604,WANA NAGRIK SAHAKARI BANK LTD,0.00,0.04,0.00,0.58,,
605,WARANGAL URBAN COOPERATIVE BANK LTD,0.41,9.77,0.27,10.65,,
606,YES BANK LIMITED,1039.70,21376.14,55717.45,201630.70,,
,ZILA SAHAKARI BANK LTD LAKHIMPUR KHERI,0.39,5.67,0.22,6.51,,
